file path,line count,code lines,complexity
/Users/madole/Code/Propeller/visualiser/app/RootApp.jsx,164,144,12
/Users/madole/Code/Propeller/visualiser/app/actions/compass.js,54,46,2
/Users/madole/Code/Propeller/visualiser/app/actions/contourSettings.js,9,6,0
/Users/madole/Code/Propeller/visualiser/app/actions/dataObject.js,239,213,14
/Users/madole/Code/Propeller/visualiser/app/actions/dataObjectUserSettings.js,437,386,33
/Users/madole/Code/Propeller/visualiser/app/actions/dataSet.js,557,482,49
/Users/madole/Code/Propeller/visualiser/app/actions/dataSetTypes.js,26,21,0
/Users/madole/Code/Propeller/visualiser/app/actions/dataTypes.js,26,21,0
/Users/madole/Code/Propeller/visualiser/app/actions/densePointCloud.js,56,48,7
/Users/madole/Code/Propeller/visualiser/app/actions/designDxf.js,139,123,13
/Users/madole/Code/Propeller/visualiser/app/actions/designEntities.js,191,173,15
/Users/madole/Code/Propeller/visualiser/app/actions/designFolders.js,211,191,11
/Users/madole/Code/Propeller/visualiser/app/actions/dirtmate.js,89,82,6
/Users/madole/Code/Propeller/visualiser/app/actions/dotsOnMaps.js,261,218,16
/Users/madole/Code/Propeller/visualiser/app/actions/download/downloadAndZip.js,55,48,2
/Users/madole/Code/Propeller/visualiser/app/actions/download/downloadElevationHistoryCSV.js,71,57,2
/Users/madole/Code/Propeller/visualiser/app/actions/download.js,364,289,10
/Users/madole/Code/Propeller/visualiser/app/actions/edit.js,8,6,0
/Users/madole/Code/Propeller/visualiser/app/actions/editOnly.js,10,9,0
/Users/madole/Code/Propeller/visualiser/app/actions/element.js,127,103,9
/Users/madole/Code/Propeller/visualiser/app/actions/entity.js,9,6,0
/Users/madole/Code/Propeller/visualiser/app/actions/interact.js,13,9,0
/Users/madole/Code/Propeller/visualiser/app/actions/intercom.js,6,6,3
/Users/madole/Code/Propeller/visualiser/app/actions/lambdas.js,20,17,0
/Users/madole/Code/Propeller/visualiser/app/actions/layer.js,70,59,4
/Users/madole/Code/Propeller/visualiser/app/actions/layers.js,223,189,8
/Users/madole/Code/Propeller/visualiser/app/actions/licenseManager.js,23,20,0
/Users/madole/Code/Propeller/visualiser/app/actions/machineFilters.js,9,7,0
/Users/madole/Code/Propeller/visualiser/app/actions/machineSelection.js,71,59,5
/Users/madole/Code/Propeller/visualiser/app/actions/machineSidebar.js,17,14,0
/Users/madole/Code/Propeller/visualiser/app/actions/materialProperties.js,48,41,0
/Users/madole/Code/Propeller/visualiser/app/actions/measurement/createMeasurementsFromApi.js,31,25,1
/Users/madole/Code/Propeller/visualiser/app/actions/measurement/duplicateMeasurement.js,126,116,2
/Users/madole/Code/Propeller/visualiser/app/actions/measurement/fetchMeasurementAsyncData.js,171,151,15
/Users/madole/Code/Propeller/visualiser/app/actions/measurement/measurementVisibility.js,63,57,6
/Users/madole/Code/Propeller/visualiser/app/actions/measurement.js,553,482,41
/Users/madole/Code/Propeller/visualiser/app/actions/measurementFilters.js,9,7,0
/Users/madole/Code/Propeller/visualiser/app/actions/measurementFolders.js,391,319,33
/Users/madole/Code/Propeller/visualiser/app/actions/measurementFoldersActions.js,5,4,0
/Users/madole/Code/Propeller/visualiser/app/actions/measurementItem.js,474,419,34
/Users/madole/Code/Propeller/visualiser/app/actions/measurementSidebar.js,23,19,0
/Users/madole/Code/Propeller/visualiser/app/actions/measurementTemplate.js,104,91,4
/Users/madole/Code/Propeller/visualiser/app/actions/modal.js,69,61,0
/Users/madole/Code/Propeller/visualiser/app/actions/mothershipActions.js,17,14,2
/Users/madole/Code/Propeller/visualiser/app/actions/organization.js,62,56,4
/Users/madole/Code/Propeller/visualiser/app/actions/pane.js,58,45,2
/Users/madole/Code/Propeller/visualiser/app/actions/performance.js,75,57,8
/Users/madole/Code/Propeller/visualiser/app/actions/progressTracking.js,105,91,3
/Users/madole/Code/Propeller/visualiser/app/actions/projection.js,126,106,8
/Users/madole/Code/Propeller/visualiser/app/actions/receiveRegionLatencies.js,29,23,1
/Users/madole/Code/Propeller/visualiser/app/actions/reports/downloadAnnotationsCSV.js,62,54,0
/Users/madole/Code/Propeller/visualiser/app/actions/reports/downloadAnnotationsPDF.js,90,83,2
/Users/madole/Code/Propeller/visualiser/app/actions/reports/downloadPdfMap.js,129,110,7
/Users/madole/Code/Propeller/visualiser/app/actions/reports/propellerCrew.js,308,275,22
/Users/madole/Code/Propeller/visualiser/app/actions/reports/renderPreviewPDF.js,85,76,3
/Users/madole/Code/Propeller/visualiser/app/actions/selection/index.js,57,47,1
/Users/madole/Code/Propeller/visualiser/app/actions/selection/selectFromGeolocation.js,110,87,6
/Users/madole/Code/Propeller/visualiser/app/actions/selection/throwOnUnselectable.js,11,8,1
/Users/madole/Code/Propeller/visualiser/app/actions/share.js,85,71,2
/Users/madole/Code/Propeller/visualiser/app/actions/simple.js,10,7,0
/Users/madole/Code/Propeller/visualiser/app/actions/site.js,335,293,19
/Users/madole/Code/Propeller/visualiser/app/actions/sitePermissions.js,58,50,2
/Users/madole/Code/Propeller/visualiser/app/actions/sourcePhoto.js,90,77,5
/Users/madole/Code/Propeller/visualiser/app/actions/sparseReconstruction.js,171,145,16
/Users/madole/Code/Propeller/visualiser/app/actions/superuser.js,13,10,0
/Users/madole/Code/Propeller/visualiser/app/actions/time.js,15,12,1
/Users/madole/Code/Propeller/visualiser/app/actions/toast.js,3,2,0
/Users/madole/Code/Propeller/visualiser/app/actions/tool.js,16,12,0
/Users/madole/Code/Propeller/visualiser/app/actions/transform/OpenSfM.js,134,115,0
/Users/madole/Code/Propeller/visualiser/app/actions/transform/calcShotMatrix.js,14,13,0
/Users/madole/Code/Propeller/visualiser/app/actions/user.js,4,3,0
/Users/madole/Code/Propeller/visualiser/app/actions/userSettings.js,27,23,0
/Users/madole/Code/Propeller/visualiser/app/actions/util/createTemplateItemsFromMeasurement.js,17,16,1
/Users/madole/Code/Propeller/visualiser/app/actions/util/fetchMeasurementItemDataFromLambda.js,28,19,2
/Users/madole/Code/Propeller/visualiser/app/actions/util/isTemplateModified.js,19,15,0
/Users/madole/Code/Propeller/visualiser/app/actions/util/visAPI.js,6,5,0
/Users/madole/Code/Propeller/visualiser/app/api/S3FileUploader.js,197,175,10
/Users/madole/Code/Propeller/visualiser/app/api/dataTypeNames.js,26,26,0
/Users/madole/Code/Propeller/visualiser/app/api/dirtmateApi.js,6,5,0
/Users/madole/Code/Propeller/visualiser/app/api/dotsOnMapsApi.js,114,95,4
/Users/madole/Code/Propeller/visualiser/app/api/licenseManagerAPI.js,9,8,0
/Users/madole/Code/Propeller/visualiser/app/api/megatronApi.js,13,9,2
/Users/madole/Code/Propeller/visualiser/app/api/propellerApi.js,155,131,2
/Users/madole/Code/Propeller/visualiser/app/api/utils.js,30,28,2
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/annotations.js,143,134,2
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/apolloClient.js,55,50,2
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/dataObjectUserSettings.js,45,40,3
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/designFolders.js,132,124,0
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/getAuthToken.js,19,15,1
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/initialDataVisApi.js,80,71,7
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/mapSettings.js,26,25,1
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/materialProperties.js,17,16,1
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/measurementFolders.js,96,81,5
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/measurementTemplates.js,72,63,4
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/shares.js,40,38,2
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/terrainEdits.js,131,122,1
/Users/madole/Code/Propeller/visualiser/app/api/visualiserApi/userSettings.js,49,45,2
/Users/madole/Code/Propeller/visualiser/app/components/Accordion.jsx,65,58,1
/Users/madole/Code/Propeller/visualiser/app/components/BulkActionBar.jsx,52,49,2
/Users/madole/Code/Propeller/visualiser/app/components/CesiumCustomBaseVisualise.jsx,73,59,5
/Users/madole/Code/Propeller/visualiser/app/components/CesiumEntityTooltip.jsx,121,98,10
/Users/madole/Code/Propeller/visualiser/app/components/CesiumGlobeTracker.jsx,77,61,8
/Users/madole/Code/Propeller/visualiser/app/components/CesiumHoverComponent.jsx,99,73,12
/Users/madole/Code/Propeller/visualiser/app/components/CesiumOrtho.jsx,65,51,4
/Users/madole/Code/Propeller/visualiser/app/components/CesiumSelectionHandler.jsx,56,47,7
/Users/madole/Code/Propeller/visualiser/app/components/CesiumShapeAuthor.jsx,615,522,51
/Users/madole/Code/Propeller/visualiser/app/components/CesiumShapeBoxSelect.jsx,90,76,5
/Users/madole/Code/Propeller/visualiser/app/components/CesiumShapeEditor.jsx,850,752,98
/Users/madole/Code/Propeller/visualiser/app/components/Compass.jsx,454,367,15
/Users/madole/Code/Propeller/visualiser/app/components/ConsistentModalPortal.jsx,8,6,0
/Users/madole/Code/Propeller/visualiser/app/components/ContextualAppear.jsx,264,221,37
/Users/madole/Code/Propeller/visualiser/app/components/ContextualAppearOverlay.jsx,48,40,4
/Users/madole/Code/Propeller/visualiser/app/components/ControlsPaneVisibilityToggle.jsx,100,90,3
/Users/madole/Code/Propeller/visualiser/app/components/DesignElevationOffsetPrefix.jsx,33,26,4
/Users/madole/Code/Propeller/visualiser/app/components/Dialog.jsx,48,43,0
/Users/madole/Code/Propeller/visualiser/app/components/EditShapePanel.jsx,414,380,29
/Users/madole/Code/Propeller/visualiser/app/components/EditableLabel.jsx,280,241,22
/Users/madole/Code/Propeller/visualiser/app/components/ErrorBoundary/AnnotationError.jsx,58,52,1
/Users/madole/Code/Propeller/visualiser/app/components/ErrorBoundary/index.jsx,57,48,2
/Users/madole/Code/Propeller/visualiser/app/components/FullScreenButton.jsx,140,116,3
/Users/madole/Code/Propeller/visualiser/app/components/GeolocatedDots.jsx,47,37,1
/Users/madole/Code/Propeller/visualiser/app/components/ImageFadeIn.jsx,26,22,1
/Users/madole/Code/Propeller/visualiser/app/components/InputWithSearchAndFilter.jsx,434,376,50
/Users/madole/Code/Propeller/visualiser/app/components/Layers/ColorSlider.jsx,209,179,18
/Users/madole/Code/Propeller/visualiser/app/components/Layers/ColorStops.jsx,158,140,7
/Users/madole/Code/Propeller/visualiser/app/components/Layers/Heatmap.jsx,285,245,3
/Users/madole/Code/Propeller/visualiser/app/components/Layers/LayerItem.jsx,346,307,21
/Users/madole/Code/Propeller/visualiser/app/components/Layers/LayersList.jsx,8,7,0
/Users/madole/Code/Propeller/visualiser/app/components/Layers/OffsetParentRect.jsx,28,24,3
/Users/madole/Code/Propeller/visualiser/app/components/Layers/SmoothColorStops.jsx,135,121,7
/Users/madole/Code/Propeller/visualiser/app/components/Layers/ToggleButton.jsx,49,42,0
/Users/madole/Code/Propeller/visualiser/app/components/ListItem.jsx,22,20,1
/Users/madole/Code/Propeller/visualiser/app/components/ListItemComponents.jsx,77,71,2
/Users/madole/Code/Propeller/visualiser/app/components/ListSortButton/index.jsx,23,20,0
/Users/madole/Code/Propeller/visualiser/app/components/ListSortButton/styled.js,22,20,0
/Users/madole/Code/Propeller/visualiser/app/components/LockToGeolocation.jsx,64,54,3
